data_center_id,node_name,ip_address
str1,g001,10.10.11.1
str1,g002,10.10.11.2
str1,g003,10.10.11.3
str1,g004,10.10.11.4
str1,g005,10.10.11.5
str1,g006,10.10.11.6
str1,g007,10.10.11.7
str1,g008,10.10.11.8
str1,g009,10.10.11.9
str1,g010,10.10.11.10
str1,g011,10.10.11.11
str1,g012,10.10.11.12
str1,g013,10.10.11.13
str1,g014,10.10.11.14
str1,g015,10.10.11.15
str1,g016,10.10.11.16
str1,g017,10.10.12.1
str1,g018,10.10.12.2
str1,g019,10.10.12.3
str1,g020,10.10.12.4
str1,g021,10.10.12.5
str1,g022,10.10.12.6
str1,g023,10.10.12.7
str1,g024,10.10.12.8
str1,g025,10.10.12.9
str1,g026,10.10.12.10
str1,g027,10.10.12.11
str1,g028,10.10.12.12
str1,g029,10.10.12.13
str1,g030,10.10.12.14
str1,g031,10.10.12.15
str1,g032,10.10.12.16
str1,g033,10.10.13.1
str1,g034,10.10.13.2
str1,g035,10.10.13.3
str1,g036,10.10.13.4
str1,g037,10.10.13.5
str1,g038,10.10.13.6
str1,g039,10.10.13.7
str1,g040,10.10.13.8
str1,g041,10.10.13.9
str1,g042,10.10.13.10
str1,g043,10.10.13.11
str1,g044,10.10.13.12
str1,g045,10.10.13.13
str1,g046,10.10.13.14
str1,g047,10.10.13.15
str1,g048,10.10.13.16
str1,g049,10.10.14.1
str1,g050,10.10.14.2
str1,g051,10.10.14.3
str1,g052,10.10.14.4
str1,g053,10.10.14.5
str1,g054,10.10.14.6
str1,g055,10.10.14.7
str1,g056,10.10.14.8
str1,g057,10.10.14.9
str1,g058,10.10.14.10
str1,g059,10.10.14.11
str1,g060,10.10.14.12
str1,g061,10.10.14.13
str1,g062,10.10.14.14
str1,g063,10.10.14.15
str1,g064,10.10.14.16
str1,g065,10.10.15.1
str1,g066,10.10.15.2
str1,g067,10.10.15.3
str1,g068,10.10.15.4
str1,g069,10.10.15.5
str1,g070,10.10.15.6
str1,g071,10.10.15.7
str1,g072,10.10.15.8
str1,g073,10.10.15.9
str1,g074,10.10.15.10
str1,g075,10.10.15.11
str1,g076,10.10.15.12
str1,g077,10.10.15.13
str1,g078,10.10.15.14
str1,g079,10.10.15.15
str1,g080,10.10.15.16
str1,g081,10.10.16.1
str1,g082,10.10.16.2
str1,g083,10.10.16.3
str1,g084,10.10.16.4
str1,g085,10.10.16.5
str1,g086,10.10.16.6
str1,g087,10.10.16.7
str1,g088,10.10.16.8
str1,g089,10.10.16.9
str1,g090,10.10.16.10
str1,g091,10.10.16.11
str1,g092,10.10.16.12
str1,g093,10.10.16.13
str1,g094,10.10.16.14
str1,g095,10.10.16.15
str1,g096,10.10.16.16
str1,g097,10.10.17.1
str1,g098,10.10.17.2
str1,g099,10.10.17.3
str1,g100,10.10.17.4
str1,g101,10.10.17.5
str1,g102,10.10.17.6
str1,g103,10.10.17.7
str1,g104,10.10.17.8
str1,g105,10.10.17.9
str1,g106,10.10.17.10
str1,g107,10.10.17.11
str1,g108,10.10.17.12
str1,g109,10.10.17.13
str1,g110,10.10.17.14
str1,g111,10.10.17.15
str1,g112,10.10.17.16
str1,g113,10.10.18.1
str1,g114,10.10.18.2
str1,g115,10.10.18.3
str1,g116,10.10.18.4
str1,g117,10.10.18.5
